bracket_text	count	class	example_song_ids
ooh, ooh, ooh, ooh	2	speaker_or_tag	hf_23971,hf_23971
Hook: Willis	2	section_marker	hf_23981,hf_23981
Chorus: Azrael & Ilohshix	2	section_marker	hf_24012,hf_24012
Verse 2: Willie Nelson	2	section_marker	hf_24087,hf_24664
Chorus: Willie Nelson	2	section_marker	hf_24087,hf_24087
Background	2	speaker_or_tag	hf_24094,hf_24094
Chorus: Mister Tender	2	section_marker	hf_24110,hf_24110
Chorus: Progresss	2	section_marker	hf_24221,hf_24221
Chorus: Lil Coarse Dirt	2	section_marker	hf_24251,hf_24251
Chorus: Tyroné Laurent	2	section_marker	hf_24258,hf_24258
Refrain: Gerry Cinnamon	2	section_marker	hf_24263,hf_24263
Pre-Chrous: Gerry Cinnamon	2	other	hf_24263,hf_24263
Chorus: Gerry Cinnamon	2	section_marker	hf_24263,hf_24263
Verse 3: Gerry Cinnamon	2	section_marker	hf_24263,hf_24263
Chorus: DamnMike	2	section_marker	hf_24268,hf_24268
EA	2	speaker_or_tag	hf_24285,hf_24285
Hook: ScHoolBoy Q	2	section_marker	hf_24299,hf_24299
Refrain: Freddie Dredd	2	section_marker	hf_24315,hf_24315
Chorus: Stina Talling & Emma Schneider	2	section_marker	hf_24324,hf_24324
Chorus: Shwabadi	2	section_marker	hf_24343,hf_24343
Chorus: Danny Sexbang	2	section_marker	hf_24345,hf_24345
Chorus: Andy Hull and Brian Sella	2	section_marker	hf_24376,hf_24376
Chorus: Lady London	2	section_marker	hf_24382,hf_24382
Chorus: Parley Wang	2	section_marker	hf_24449,hf_24449
Refrain: Azera & 1-B	2	section_marker	hf_24479,hf_24479
Chorus: Wiz Khalifa	2	section_marker	hf_24500,hf_24500
Connor Welsh	2	speaker_or_tag	hf_24539,hf_24539
Chorus: XXXTENTACION	2	section_marker	hf_24563,hf_24563
Pre-Chorus: Josh Frank	2	section_marker	hf_24569,hf_24569
Chorus: Josh Frank	2	section_marker	hf_24569,hf_24569
Chorus: SSGKOBE	2	section_marker	hf_24601,hf_24601
Chorus: Friz + Shakez	2	section_marker	hf_24625,hf_24625
TBD	2	speaker_or_tag	hf_24626,hf_24626
Chorus - Holden McNeely, Doug Austin and Carly Goodspeed	2	section_marker	hf_24640,hf_24640
Pre-Chorus: Helen Tess	2	section_marker	hf_24642,hf_24642
Chorus: Da'cleevlindian, clevelandcoldest & T-Boz	2	section_marker	hf_24656,hf_24656
Chorus: Dan Smith	2	section_marker	hf_24684,hf_24684
Post-Chorus: Dan Smith	2	section_marker	hf_24684,hf_24684
Chorus: Dree Low & Adel	2	section_marker	hf_24691,hf_24691
unknown singers A	2	speaker_or_tag	hf_24764,hf_24764
Canada Dry Man	2	speaker_or_tag	hf_24764,hf_24764
Chorus: Angelica Vila	2	section_marker	hf_24829,hf_24829
Chorus: Odeal	2	section_marker	hf_24946,hf_24946
Chorus: Lil Pete	2	section_marker	hf_24980,hf_24980
Hook: Death on V/H/S	2	section_marker	hf_24997,hf_24997
Sample: Colin Munroe	2	other	hf_25025,hf_25025
Chorus: Hit-Boy	2	section_marker	hf_25027,hf_25027
Outro: CB3	2	section_marker	hf_25092,hf_26477
Chorus: Rexx Life Raj	2	section_marker	hf_25104,hf_25104
Hook : Verb T	2	section_marker	hf_25128,hf_25128
Pre-Chorus: Ragnar Þórhallsson & Nanna Bryndís Hilmarsdóttir	2	section_marker	hf_25131,hf_25131
Chorus: Ragnar Þórhallsson & Nanna Bryndís Hilmarsdóttir	2	section_marker	hf_25131,hf_25131
Pre-Chorus: ricky retro	2	section_marker	hf_25162,hf_25162
Chorus: ricky retro	2	section_marker	hf_25162,hf_25162
Pre-Drop: ricky retro	2	section_marker	hf_25162,hf_25162
Drop: ricky retro	2	section_marker	hf_25162,hf_25162
JOSE	2	speaker_or_tag	hf_25215,hf_25215
SKIT	2	section_marker	hf_25215,hf_25229
Chorus: Young Buck	2	section_marker	hf_25239,hf_25239
Chorus: Kavvi	2	section_marker	hf_25257,hf_25257
Verse - GHO$T & DEADSHAWDY	2	section_marker	hf_25299,hf_25299
Uncredited Artist	2	speaker_or_tag	hf_25301,hf_25301
Hook - SG Quise	2	section_marker	hf_25312,hf_25312
Verse 3: Mutt Taylor, Katie Nuñez & Robyn Roth and Mutt Taylor with Katie Nuñez & Robyn Roth	2	section_marker	hf_25316,hf_25316
Hook: Angel	2	section_marker	hf_25398,hf_25398
FlyBoy	2	speaker_or_tag	hf_25400,hf_25400
Vybeclynn	2	speaker_or_tag	hf_25400,hf_25400
Chorus: Zakk Wylde	2	section_marker	hf_25436,hf_25436
Hook: Kacy Hill & 03 Greedo	2	section_marker	hf_25442,hf_25442
Guitar Outro	2	section_marker	hf_25483,hf_27114
Instrumental drop	2	section_marker	hf_25518,hf_25518
Verse 1: Dr. Dre	2	section_marker	hf_25533,hf_29490
Chorus: Dr. Dre	2	section_marker	hf_25533,hf_25533
Verse 2: Dr. Dre	2	section_marker	hf_25533,hf_29490
BREAKDOWN	2	section_marker	hf_25619,hf_26113
Chorus: Pete Yorn & Scarlett Johansson	2	section_marker	hf_25740,hf_25740
Hook: SmokeyThaKid	2	section_marker	hf_25754,hf_25754
BUILDERS	2	speaker_or_tag	hf_25758,hf_25758
Chorus: Jay Montana	2	section_marker	hf_25774,hf_25774
OG Spanish Fly	2	speaker_or_tag	hf_25785,hf_25785
Hook: Russ	2	section_marker	hf_25815,hf_25815
Pre-Chorus: Kevin McCall	2	section_marker	hf_25837,hf_25837
Chorus - Collard	2	section_marker	hf_25847,hf_25847
Hook : Necro	2	section_marker	hf_25854,hf_25854
Chorus: ajakswavy	2	section_marker	hf_25862,hf_25862
Chorus: AHMEL.W	2	section_marker	hf_25875,hf_25875
Pre-Drop: Tyler Brooker & Lisa Schettner	2	section_marker	hf_25902,hf_25902
Applejack	2	speaker_or_tag	hf_25921,hf_25921
Apple family	2	speaker_or_tag	hf_25921,hf_25921
Chorus: Pop Smoke & Takeoff	2	section_marker	hf_25927,hf_25927
Chorus: G Herbo	2	section_marker	hf_25948,hf_25948
Chorus: Andrew Huang, Andrew Huang, Jeff Linville, Rachel Leonard & Rob Scallon	2	section_marker	hf_25951,hf_25951
Hook: MajorIcey	2	section_marker	hf_25990,hf_25990
Chorus: Walker Hayes	2	section_marker	hf_26012,hf_26012
Bridge: Seth Bunting	2	section_marker	hf_26034,hf_29969
yea	2	speaker_or_tag	hf_26039,hf_26039
TheNeXTGUI: Chorus	2	section_marker	hf_26047,hf_26047
Refrain: Ripsi WInelover	2	section_marker	hf_26100,hf_26100
Verse 2: MJG	2	section_marker	hf_26115,hf_28043
Hook: Kadence and DJ DB405	2	section_marker	hf_26132,hf_26132
Hook: Criss Lyric	2	section_marker	hf_26133,hf_26133
Hook: An0amly	2	section_marker	hf_26156,hf_26156
Chorus: Dwn2earth	2	section_marker	hf_26174,hf_26174
Pre-Chorus: Gabi DeMartino	2	section_marker	hf_26194,hf_26194
Chorus: Gabi DeMartino	2	section_marker	hf_26194,hf_26194
Chorus: Jevon & Lando	2	section_marker	hf_26229,hf_26229
A & C:	2	other	hf_26233,hf_26233
Chorus: 1 BruhCode & Cuturedkelz	2	section_marker	hf_26238,hf_26238
Hook: Detail	2	section_marker	hf_26255,hf_26255
Chorus 2: Ryan Lott	2	section_marker	hf_26258,hf_26258
Bridge: Kim Vi	2	section_marker	hf_26283,hf_26283
Pre-Chorus: Woong, Daehwi, Donghyun	2	section_marker	hf_26284,hf_26284
Chorus: Woong, Daehwi, Donghyun, Woojin	2	section_marker	hf_26284,hf_26284
Chorus: Lizzy McAlpine & FINNEAS	2	section_marker	hf_26333,hf_26333
Chorus: Eskelater	2	section_marker	hf_26353,hf_26353
Chorus: Curren$y & Wiz Khalifa	2	section_marker	hf_26376,hf_26376
Chorus: Jovi Rockwell & Elliphant	2	section_marker	hf_26387,hf_26387
Chorus: Hennie Jacobs & Hildegardt Silkiewicz/Both	2	section_marker	hf_26401,hf_26401
JUSTINE and CLARKE	2	speaker_or_tag	hf_26414,hf_26414
Chorus: CB3, CB3 & Brahma Bull	2	section_marker	hf_26477,hf_26477
Chorus: Passyguap	2	section_marker	hf_26515,hf_26515
Pre-Chorus: Ed Maverick	2	section_marker	hf_26517,hf_26517
Chorus: C. Tangana, C. Tangana & Ed Maverick	2	section_marker	hf_26517,hf_26517
Refrain: Sally Sossa	2	section_marker	hf_26545,hf_26545
Verse 2 - Gucci Mane	2	section_marker	hf_26578,hf_28458
unintelligible	2	speaker_or_tag	hf_26584,hf_27172
Sam Williams III	2	speaker_or_tag	hf_26608,hf_26608
Chorus: Red Cafe & sample	2	section_marker	hf_26639,hf_26639
Hook - wicky	2	section_marker	hf_26655,hf_26655
Chorus: Bruh From Last Night, Tia Nomore, both	2	section_marker	hf_26668,hf_26668
Chorus: Rude CheeZ	2	section_marker	hf_26673,hf_26673
Rumi & Company:	2	other	hf_26674,hf_26674
wave?	2	other	hf_26698,hf_26698
Chorus: PARTYNEXTDOOR	2	section_marker	hf_26720,hf_26720
Anna	2	speaker_or_tag	hf_26744,hf_26744
Wally	2	speaker_or_tag	hf_26744,hf_26744
Guru	2	speaker_or_tag	hf_26800,hf_26800
Refrain: Lil Nas X	2	section_marker	hf_26820,hf_26820
Chorus: Luvlilk	2	section_marker	hf_26836,hf_26836
Chorus: Emma Fitzpatrick, Molly Rogers & Richard Speight, Jr.	2	section_marker	hf_26853,hf_26853
Pre-Hook: Mass The Difference	2	section_marker	hf_26858,hf_26858
Hook: Mass The Difference	2	section_marker	hf_26858,hf_26858
Refrain/Hook	2	section_marker	hf_26918,hf_26918
Chorus: Trav	2	section_marker	hf_26957,hf_26957
Chorus: Squidward Tentacles	2	section_marker	hf_26961,hf_26961
Hook: Lil Mumbo	2	section_marker	hf_27039,hf_27039
Chorus: ChiChi	2	section_marker	hf_27047,hf_27047
Morgane	2	speaker_or_tag	hf_27062,hf_27062
Chorus: Dirtbag Dan & Kung Fu Vampire	2	section_marker	hf_27165,hf_27165
Hillary, spoken	2	section_marker	hf_27181,hf_27181
Xue Xing and DHH, spoken	2	section_marker	hf_27181,hf_27181
Chorus: Inhansed	2	section_marker	hf_27204,hf_27204
Pre-Chorus: Peppa Pig, Children's Choir	2	section_marker	hf_27218,hf_27218
Brigde: Mayra Arduini	2	other	hf_27224,hf_27224
Chorus: Mayra Arduini & Bruno Martini	2	section_marker	hf_27224,hf_27224
Chorus: XXXTENTACION & HOAXXX	2	section_marker	hf_27237,hf_27237
Chorus: (Bandmates) Neil Donell	2	section_marker	hf_27246,hf_27246
Chorus: Ruby	2	section_marker	hf_27340,hf_27340
Chorus: Logic (Peoples Army)	2	section_marker	hf_27392,hf_27392
Chorus: Amber	2	section_marker	hf_27474,hf_27474
Chorus: Scott Ian Lewis, Alissa White-Gluz, Both	2	section_marker	hf_27476,hf_27476
Hook: Shwabadi	2	section_marker	hf_27501,hf_27501
Drop: grandson	2	section_marker	hf_27574,hf_27574
Chris Brown	2	speaker_or_tag	hf_27597,hf_27597
Hook: Branan Murphy	2	section_marker	hf_27604,hf_27604
Chorus - Postcard:	2	section_marker	hf_27625,hf_27625
Hook: ZaddyOc	2	section_marker	hf_27662,hf_27662
Manz	2	speaker_or_tag	hf_27669,hf_27669
Chorus: Hairu Tokyo	2	section_marker	hf_27765,hf_27765
Adlibs	2	speaker_or_tag	hf_27773,hf_27773
Hook: Drake	2	section_marker	hf_27801,hf_27801
Chorus: Klayton	2	section_marker	hf_27805,hf_27805
Chorus: Yung Gravy & Lil Mayo	2	section_marker	hf_27827,hf_27827
Hook: Mell	2	section_marker	hf_27829,hf_27829
IVÁN	2	other	hf_27837,hf_27837
Lord Distortion	2	speaker_or_tag	hf_27864,hf_27864
Chorus: dshmurd	2	section_marker	hf_27874,hf_27874
Soundbite from The Tick	2	speaker_or_tag	hf_27890,hf_27890
SOFIA	2	speaker_or_tag	hf_27910,hf_27910
Hook : Thabisau	2	section_marker	hf_27911,hf_27911
Chorus : Thabisau	2	section_marker	hf_27911,hf_27911
up	2	speaker_or_tag	hf_27967,hf_27967
you should've seen?	2	other	hf_28002,hf_28002
around?	2	other	hf_28025,hf_28025
laughing	2	speaker_or_tag	hf_28054,hf_28054
Chorus: DaniLeigh & DaBaby	2	section_marker	hf_28056,hf_28056
Alfred	2	speaker_or_tag	hf_28139,hf_28139
Chorus: Pi'erre Bourne	2	section_marker	hf_28140,hf_28140
Chorus: Lord Byron	2	section_marker	hf_28248,hf_28248
Chorus: Neoni with FJØRA	2	section_marker	hf_28319,hf_28319
Chorus: Ivory Blue	2	section_marker	hf_28334,hf_28334
Hook: Bobby Sessions & Zyah	2	section_marker	hf_28361,hf_28361
Chorus: Denzel Curry	2	section_marker	hf_28362,hf_28362
Hook: Evangelia	2	section_marker	hf_28396,hf_28396
Chorus: MNDR	2	section_marker	hf_28418,hf_28418
GEORGIE	2	speaker_or_tag	hf_28513,hf_28513
CHILDREN	2	speaker_or_tag	hf_28513,hf_28513
M-Balmer	2	speaker_or_tag	hf_28518,hf_28518
Chorus: Darby O'Trill	2	section_marker	hf_28526,hf_28526
Stick	2	speaker_or_tag	hf_28539,hf_28539
Chorus - Skengdo x2	2	section_marker	hf_28541,hf_28541
DAUGHTER, spoken	2	section_marker	hf_28571,hf_28571
SON, spoken	2	section_marker	hf_28571,hf_28571
Heavenly Joy	2	speaker_or_tag	hf_28590,hf_28590
Marvin Sapp	2	speaker_or_tag	hf_28590,hf_28590
Jac Ross	2	speaker_or_tag	hf_28590,hf_28590
Kirk Franklin	2	speaker_or_tag	hf_28590,hf_28590
Le’Andria Johnson	2	speaker_or_tag	hf_28590,hf_28590
Karen Clark-Sheard	2	speaker_or_tag	hf_28590,hf_28590
Tina Campbell	2	speaker_or_tag	hf_28590,hf_28590
Hook: Moonlet	2	section_marker	hf_28623,hf_28623
Post Chorus: Joseph	2	section_marker	hf_28627,hf_28627
Rarevinci	2	speaker_or_tag	hf_28702,hf_28702
Chorus: Apu Sebekedi	2	section_marker	hf_28716,hf_28716
Chorus: Slim Santana & YNW Melly	2	section_marker	hf_28723,hf_28723
Chorus: Range	2	section_marker	hf_28729,hf_28729
Spoken: Rob Huebel as The Prince	2	section_marker	hf_28744,hf_28744
Verse #1: Lil Swift	2	section_marker	hf_28752,hf_28752
Chorus #1: Lil Swift	2	section_marker	hf_28752,hf_28752
Verse #2: Lil Swift	2	section_marker	hf_28752,hf_28752
Chorus: Stunna Cold	2	section_marker	hf_28763,hf_28763
Hook: Catie Lee	2	section_marker	hf_28805,hf_28805
Chorus: B. Stokes	2	section_marker	hf_28853,hf_28853
Hook: sphere merchants	2	section_marker	hf_28859,hf_28859
Hook: Andrsn CK	2	section_marker	hf_28862,hf_28862
Chorus: Nathan Lukacs	2	section_marker	hf_28892,hf_28892
Hook: Hazardis Soundz & Venessa Renee	2	section_marker	hf_28901,hf_28901
Hook: New Oma	2	section_marker	hf_28913,hf_28913
Chorus: Doze One	2	section_marker	hf_28968,hf_28968
Hook: Slug Christ	2	section_marker	hf_29008,hf_29008
Hook: Fabrice Piard & Shash'U	2	section_marker	hf_29065,hf_29065
Post-Hook: Fabrice Piard	2	section_marker	hf_29065,hf_29065
Chorus: John Paul White, Joy Williams & Both	2	section_marker	hf_29136,hf_29136
Verse: Memo	2	section_marker	hf_29139,hf_29139
Hook: Memo	2	section_marker	hf_29139,hf_29139
Verse: Young Abdulleh	2	section_marker	hf_29139,hf_29139
Pre-Chorus: ceo@business.net	2	section_marker	hf_29231,hf_29231
Verse: Gold Frames on Brown Skin	2	section_marker	hf_29264,hf_29264
Hook: Quavo	2	section_marker	hf_29276,hf_29276
Hook: Spaceli Vietnam	2	section_marker	hf_29337,hf_29337
Mike Jones	2	speaker_or_tag	hf_29338,hf_29338
Chorus: Issac Horn with Sarah Wood	2	section_marker	hf_29360,hf_29360
Chorus: Tobin & Joanne Shoemate	2	section_marker	hf_29382,hf_29382
Chorus: LUISPRODUCEDIT and Killtak	2	section_marker	hf_29443,hf_29443
Interlude: LUISPRODUCEDIT and Killtak	2	section_marker	hf_29443,hf_29443
Repeat 4x	2	speaker_or_tag	hf_29492,hf_29492
Verse 2: Sara Watkins/Watkins, Watkins, Thile	2	section_marker	hf_29494,hf_29494
Chorus: Orville Peck & Bria Salmena	2	section_marker	hf_29559,hf_29559
Bridge: Sub Urban & REI AMI	2	section_marker	hf_29574,hf_29574
Chorus: Sub Urban	2	section_marker	hf_29574,hf_29574
Chorus: HazeySkies	2	section_marker	hf_29580,hf_29580
Chorus: Kissel	2	section_marker	hf_29586,hf_29586
Chorus: Zara Larsson	2	section_marker	hf_29710,hf_29710
Chorus: Trey Lewis & RVSHVD	2	section_marker	hf_29780,hf_29780
Post-Chorus: Trey Lewis & RVSHVD	2	section_marker	hf_29780,hf_29780
Chorus: Scott Simms & Reborn	2	section_marker	hf_29783,hf_29783
Pre-Chorus: Georgia Harris	2	section_marker	hf_29814,hf_29814
Chorus: Naser & Vineeth	2	section_marker	hf_29831,hf_29831
Chorus: Taylor Bennett & Bianca Shaw	2	section_marker	hf_29839,hf_29839
Chorus: Collyn	2	section_marker	hf_29859,hf_29859
Pre-Chorus: Salience	2	section_marker	hf_29864,hf_29864
Chorus: The Fart Nibbaz and Ewan Haynes	2	section_marker	hf_29932,hf_29932
Chorus: Miles Minnick	2	section_marker	hf_29968,hf_29968
'em/him?	2	other	hf_29978,hf_29978
Verse 1: London Yellow	1	section_marker	hf_00001
Verse 3: Cap Jazzo	1	section_marker	hf_00001
Verse 4: Cap Jazzo	1	section_marker	hf_00001
Verse 5: AWFM	1	section_marker	hf_00001
Verse 6: AWFM	1	section_marker	hf_00001
Outro: AWFM	1	section_marker	hf_00001
Judicious	1	speaker_or_tag	hf_00005
Verse 1: Comethazine	1	section_marker	hf_00007
Chorus: Comethazine & Ugly God	1	section_marker	hf_00007
Verse 2: Ugly God	1	section_marker	hf_00007
Outro: Comethazine	1	section_marker	hf_00007
Verse 1: Freddy Solitary	1	section_marker	hf_00022
Verse 1: Ladieaux	1	section_marker	hf_00022
Verse 1 cont.: Freddy Solitary	1	section_marker	hf_00022
Hook: Ladieaux	1	section_marker	hf_00022
Verse 2: Ladieaux	1	section_marker	hf_00022
Intro: Johnny Mutante	1	section_marker	hf_00030
Verse 1: Johnny Mutante	1	section_marker	hf_00030
Verse 2: Johnny Mutante	1	section_marker	hf_00030
Hook: Z-Mane (2x)	1	section_marker	hf_00041
Bridge: Z-Mane	1	section_marker	hf_00041
Verse 2: Matt Chandler	1	section_marker	hf_00041
Outro: Z-Mane	1	section_marker	hf_00041
Refrain & Coda	1	section_marker	hf_00044
outroverse	1	section_marker	hf_00058
Verse solo, fiddle/steel	1	section_marker	hf_00061
first line spoken, not sung	1	section_marker	hf_00061
Tropic Thunder	1	speaker_or_tag	hf_00064
Verse 2: Dallas Green	1	section_marker	hf_00069
Dr. Chosis	1	speaker_or_tag	hf_00075
Chorus} Watch, Watch, Watch. Watch, Watch Watch, Watch, Watch. Watch, Watch Watch, Watch, Watch. Watch, Watch Watch {Verse 2	1	section_marker	hf_00107
Verse 2: Sarah Zimmerman, Both	1	section_marker	hf_00112
Verse: 3	1	section_marker	hf_00132
Verse 1: Diego Dose	1	section_marker	hf_00138
Verse 2: DrugRixh Pe$o	1	section_marker	hf_00138
Verse 3: Hoodrich Pablo Juan	1	section_marker	hf_00138
Verse 4: Bloody Tito	1	section_marker	hf_00138
Pre-Chorus 1: Jade West & Cat Valentine	1	section_marker	hf_00145
Post-Chorus: Elizabeth Gillies & Cat Valentine (Doja Cat)	1	section_marker	hf_00145
Verse 2: Doja Cat	1	section_marker	hf_00145
Bridge: Jade West & Cat Valentine	1	section_marker	hf_00145
Pre-Chorus 2: Jade West & Cat Valentine	1	section_marker	hf_00145
and	1	speaker_or_tag	hf_00153
Chorus: 5912	1	section_marker	hf_00155
Refrain: 5912	1	section_marker	hf_00155
Intro: Mutt Taylor	1	section_marker	hf_00169
Verse 1: Mutt Taylor	1	section_marker	hf_00169
Verse 2: Mutt Taylor and Jimmy Blades	1	section_marker	hf_00169
Bridge: Mutt Taylor & Jimmy Blades and Mutt Taylor	1	section_marker	hf_00169
Verse 3: Mutt Taylor and Mutt Taylor & Jimmy Blades	1	section_marker	hf_00169
Verse 1: ace.	1	section_marker	hf_00170
Chorus: SYPDAWEB & RJLDiablo	1	section_marker	hf_00170
Outro: SPYDAWEB	1	section_marker	hf_00170
Banjo Interlude	1	section_marker	hf_00171
Emcee(s): L-Swift, A-Butta, and Mr. Voodoo	1	other	hf_00182
Producer(s): Charlemagne	1	other	hf_00182
Hook/Additional Vocals: Charlemagne	1	section_marker	hf_00182
Intro: Charlemagne	1	section_marker	hf_00182
Verse 1: L-Swift, A-Butta, and Mr. Voodoo	1	section_marker	hf_00182
Verse 2: A-Butta, Mr. Voodoo, and L-Swift	1	section_marker	hf_00182
Verse 3: Mr. Voodoo, A-Butta, and L-Swift	1	section_marker	hf_00182
part	1	speaker_or_tag	hf_00215
Verse 3: Miranda Lambert	1	section_marker	hf_00226
Jae Flow - Rollin'	1	speaker_or_tag	hf_00238
Intro: Alejandro	1	section_marker	hf_00238
Alejandro	1	speaker_or_tag	hf_00238
Jae Flow	1	speaker_or_tag	hf_00238
Chorus: Jae Flow	1	section_marker	hf_00238
Jae Flow - The Breaks	1	section_marker	hf_00238
Duyan Joy	1	speaker_or_tag	hf_00238
Pré-refrain	1	section_marker	hf_00266
They don't got the hold on me no	1	other	hf_00267
Bridge: Dean Brody & Mickey Guyton	1	section_marker	hf_00282
Chorus: Both, Dean Brody, Mickey Guyton	1	section_marker	hf_00282
Outro: Dean Brody & Mickey Guyton	1	section_marker	hf_00282
Audio	1	speaker_or_tag	hf_00306
Feature: Kidd Kenny	1	other	hf_00311
Verse 2: Masta Killa	1	section_marker	hf_00313
Verse 3: Method Man	1	section_marker	hf_00313
Verse 4: GZA	1	section_marker	hf_00313
Verse 5: Cappadonna	1	section_marker	hf_00313
Verse 6: U-God	1	section_marker	hf_00313
Verse 7: RZA	1	section_marker	hf_00313
Verse 2: Joy Williams	1	section_marker	hf_00315
Verse 3: Joy Williams	1	section_marker	hf_00315
Verse 2: A$AP Ferg	1	section_marker	hf_00317
Verse: Mass of Man & Caitlyn Havican	1	section_marker	hf_00344
Chorus: Mass of Man & Caitlyn Havican	1	section_marker	hf_00344
Verse: Masetti & Caitlyn Havican	1	section_marker	hf_00344
Chorus: Masetti & Caitlyn Havican	1	section_marker	hf_00344
Chorus: Caitlyn Havican	1	section_marker	hf_00344
Chorus: Mass of Man & Masetti & Caitlyn Havican	1	section_marker	hf_00344
Pre Vox	1	speaker_or_tag	hf_00345
Intro: Famous Dex & Polo Boy Shawty	1	section_marker	hf_00358
Verse: Famous Dex & Polo Boy Shawty	1	section_marker	hf_00358
Outro: Famous Dex	1	section_marker	hf_00358
Verse 1: KT-Archer	1	section_marker	hf_00366
Verse 2: princess paparazzi	1	section_marker	hf_00368
Verse 2: Micah Montag	1	section_marker	hf_00368
Outro: Micah Montag	1	section_marker	hf_00368
Verse 1: Lauren Alaina	1	section_marker	hf_00374
Pre-Chorus: Lauren Alaina	1	section_marker	hf_00374
Verse 2: The Shires	1	section_marker	hf_00374
Verse 2 : Problem	1	section_marker	hf_00403
Verse 3: DJ DX	1	section_marker	hf_00414
Chorus 3: DJ DX	1	section_marker	hf_00414
Verse 2: Chanda Mbao	1	section_marker	hf_00421
Verse 3: Scott	1	section_marker	hf_00421
Mic Vee Verse 2	1	section_marker	hf_00426
Mic Vee & Nawlage Bridge	1	section_marker	hf_00426
Nawlage Break	1	section_marker	hf_00426
BRIDGE: JAE RASHIDI	1	section_marker	hf_00452
Chorus: Nona Hendryx, Valerie June & Nona Hendryx & Valerie June	1	section_marker	hf_00461
Verse 2: Morgane Stapleton	1	section_marker	hf_00461
Verse 5: K.Flay, Cyndi Lauper	1	section_marker	hf_00461
Verse: Jpain	1	section_marker	hf_00467
Bible?	1	other	hf_00483
Verse Chorus	1	section_marker	hf_00492
diced	1	speaker_or_tag	hf_00494
scart	1	speaker_or_tag	hf_00494
k4rson	1	speaker_or_tag	hf_00494
Verse 2: Bob Dylan	1	section_marker	hf_00499
Verse 3: Bob Dylan	1	section_marker	hf_00499
Verse 4: Bob Dylan	1	section_marker	hf_00499
Ad lib	1	speaker_or_tag	hf_00510
Chorus: Sub last two lines	1	section_marker	hf_00523
Verse 2: NLC	1	section_marker	hf_00530
Verse 3: Vendetta	1	section_marker	hf_00530
Verse 1: Phocuz	1	section_marker	hf_00535
Verse 2: Civil	1	section_marker	hf_00535
Verse 3: Torrian Ball	1	section_marker	hf_00535
PETER & EVYNNE	1	speaker_or_tag	hf_00546
HOUND & FOX	1	speaker_or_tag	hf_00546
Nic Newsham	1	speaker_or_tag	hf_00547
Verse: Amit	1	section_marker	hf_00550
?2:15	1	other	hf_00561
Intro - Lil Austin & Forever Young	1	section_marker	hf_00567
Verse 1 - Lil Austin	1	section_marker	hf_00567
Verse 2 - Forever Young	1	section_marker	hf_00567
Verse 3 - Lil Austin & Forever Young	1	section_marker	hf_00567
Verse 4 - Lil Austin	1	section_marker	hf_00567
Verse 5 - Forever Young	1	section_marker	hf_00567
Bridge - Lil Austin & Forever Young	1	section_marker	hf_00567
Outro - Lil Austin & Forever Young	1	section_marker	hf_00567
Pre-Chorus/Outro	1	section_marker	hf_00568
Outro: ?	1	section_marker	hf_00570
Outro: MIchael B. Jordan/Killmonger	1	section_marker	hf_00575
Pre-Chorus: Jesy	1	section_marker	hf_00579
Chorus: Jesy & All	1	section_marker	hf_00579
Verse 2: Leigh-Anne	1	section_marker	hf_00579
Pre-Chorus: Perrie	1	section_marker	hf_00579
Chorus: Perrie with Jesy & All	1	section_marker	hf_00579
Post-Chorus: Perrie with Jade & Leigh-Anne	1	section_marker	hf_00579
Bridge: Leigh-Anne & All	1	section_marker	hf_00579
Chorus: Perrie with All, Jesy & Jade	1	section_marker	hf_00579
Post-Chorus: Perrie, All, Jade & Leigh-Anne	1	section_marker	hf_00579
50 Cent	1	speaker_or_tag	hf_00587
Chorus - 50 cent	1	section_marker	hf_00587
young buck	1	speaker_or_tag	hf_00587
Lloyd Banks	1	speaker_or_tag	hf_00587
Intro: Tobias Young	1	section_marker	hf_00603
Verse 1: Connor Hallisey & Tobias Young	1	section_marker	hf_00603
Verse 2: Connor Hallisey	1	section_marker	hf_00603
Breakdown: Connor Hallisey	1	section_marker	hf_00603
Bridge: Connor Hallisey	1	section_marker	hf_00603
Interlude: Tobias Young	1	section_marker	hf_00603
Chorus: Tobias Young & Connor Hallisey	1	section_marker	hf_00603
Reff	1	speaker_or_tag	hf_00613
Pre-Chorus 1: Bart Baker, Emma Fitzpatrick & both	1	section_marker	hf_00615
Chorus: Bart Baker, Emma Fitzpatrick & both	1	section_marker	hf_00615
Post-Chorus 1: both	1	section_marker	hf_00615
Verse 2: Bart Baker & Emma Fitzpatrick	1	section_marker	hf_00615
Pre-Chorus 2: Bart Baker, Emma Fitzpatrick & both	1	section_marker	hf_00615
Chorus 2: Bart Baker	1	section_marker	hf_00615
Chorus 3: Bart Baker & both	1	section_marker	hf_00615
Trumpet solo: Theodore van Dyck	1	section_marker	hf_00626
Verse 1: Miles Chancellor	1	section_marker	hf_00631
Verse 2: Miles Chancellor	1	section_marker	hf_00631
Chorus: Ulrik Lund	1	section_marker	hf_00658
Verse 2: Ulrik Lund	1	section_marker	hf_00658
Chorus: Ulrik Lund & Timbuktu	1	section_marker	hf_00658
Verse 3: Timbuktu	1	section_marker	hf_00658
Outro: Ulrik Lund	1	section_marker	hf_00658
Intro: Lil Durk	1	section_marker	hf_00665
Intro: Tyrus Handy	1	section_marker	hf_00671
